ITEM: TIMESTEP
26200
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1034440479022237e+01 2.1034440479022237e+01
-1.1245775088204779e+01 1.1245775088204779e+01
-1.1245775088204779e+01 1.1245775088204779e+01
ITEM: ENTRIES index c_dphi
80 -30.1829 
81 -30.7248 
82 -152.759 
83 88.7413 
84 169.3 
85 45.4023 
86 -69.9947 
87 102.307 
88 -27.974 
89 -140.707 
90 158.92 
91 40.789 
92 -80.3239 
93 173.328 
94 52.2148 
95 -68.5417 
96 -70.8856 
97 168.002 
98 47.2451 
99 179.742 
100 -60.7367 
101 57.3381 
102 162.813 
103 44.4975 
104 -75.2901 
105 46.5399 
106 164.276 
107 -78.2797 
108 84.2353 
109 -32.1706 
110 -153.956 
111 86.9316 
112 -34.8536 
113 -156.663 
114 -150.204 
115 88.0106 
116 -33.7983 
ITEM: TIMESTEP
26700
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1034440479022237e+01 2.1034440479022237e+01
-1.1245775088204779e+01 1.1245775088204779e+01
-1.1245775088204779e+01 1.1245775088204779e+01
ITEM: ENTRIES index c_dphi
1 118.895 
2 -127.909 
3 -8.03733 
4 -112.219 
5 132.888 
6 14.491 
7 -104.988 
8 136.616 
9 9.90585 
10 13.6237 
11 -104.773 
12 128.517 
13 -150.707 
14 88.471 
15 -40.4463 
16 -30.4237 
17 -147.144 
18 90.6761 
19 -26.0441 
20 -144.593 
21 98.6864 
22 -22.0459 
23 104.107 
24 158.474 
25 42.0309 
26 -86.5171 
27 85.2933 
28 -36.8159 
29 -158.218 
30 122.987 
31 128.094 
32 11.2966 
33 -116.523 
34 -118.522 
35 124.681 
36 -3.13867 
37 7.60351 
38 -109.194 
39 -178.457 
40 63.6078 
41 -56.6489 
42 -174.717 
43 65.0259 
44 -56.7824 
45 -54.8758 
46 -175.132 
47 63.0592 
48 157.646 
49 -83.309 
50 31.4089 
51 -134.169 
52 109.317 
53 -5.27986 
54 150.319 
55 -94.0135 
56 22.7323 
57 -129.025 
58 111.574 
59 -8.92556 
60 -131.378 
61 108.123 
62 -11.9765 
63 -10.6464 
64 -131.146 
65 108.755 
66 157.414 
67 -87.1597 
68 37.4484 
69 175.72 
70 57.1221 
71 -61.6286 
72 164.137 
73 -75.7515 
74 37.9794 
75 -147.623 
76 96.2471 
77 -23.2973 
78 -139.387 
79 101.068 
80 -23.2576 
81 -26.4738 
82 -146.018 
83 89.656 
84 177.876 
85 59.7711 
86 -60.3368 
87 71.9008 
88 -50.9492 
89 -167.014 
90 159.742 
91 40.2402 
92 -81.5642 
93 160.992 
94 39.1875 
95 -79.5062 
96 -79.2885 
97 158.907 
98 40.2134 
99 178.38 
100 -60.3271 
101 62.2002 
102 168.816 
103 43.8058 
104 -71.8667 
105 51.5601 
106 163.097 
107 -72.4832 
108 74.7676 
109 -35.7719 
110 -159.207 
111 89.2645 
112 -34.171 
113 -160.196 
114 -157.553 
115 79.0118 
116 -47.0131 
ITEM: TIMESTEP
26800
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1034440479022237e+01 2.1034440479022237e+01
-1.1245775088204779e+01 1.1245775088204779e+01
-1.1245775088204779e+01 1.1245775088204779e+01
ITEM: ENTRIES index c_dphi
1 161.774 
2 -72.8663 
3 46.4719 
4 -112.052 
5 128.27 
6 5.68298 
7 -108.912 
8 128.501 
9 10.7659 
10 7.89005 
11 -114.697 
12 127.568 
13 -156.125 
14 86.0371 
15 -33.9633 
16 -83.3337 
17 159.277 
18 34.3246 
19 -83.0651 
20 153.063 
21 35.6734 
22 -49.9228 
23 72.5849 
24 -109.502 
25 143.828 
26 13.5178 
27 61.4642 
28 -62.8836 
29 -175.918 
30 136.306 
31 136.828 
32 17.9437 
33 -108.898 
34 -104.59 
35 136.525 
36 9.68359 
37 22.0319 
38 -96.8529 
39 -143.389 
40 93.5037 
41 -24.4626 
42 -150.131 
43 91.9027 
44 -27.0233 
45 -28.6175 
46 -146.584 
47 94.4902 
48 172.309 
49 -64.7245 
50 49.9996 
51 -160.848 
52 86.3775 
53 -36.284 
54 154.924 
55 -90.5608 
56 27.8373 
57 -132.591 
58 102.311 
59 -9.35012 
60 -132.793 
61 115.546 
62 -7.69509 
63 -17.5376 
64 -129.199 
65 107.56 
66 146.033 
67 -92.8809 
68 23.4037 
69 139.664 
70 18.2516 
71 -99.3439 
72 178.874 
73 -61.5429 
74 59.7847 
75 -88.1113 
76 154.214 
77 33.2292 
78 -75.9227 
79 163.092 
80 41.7519 
81 38.6593 
82 -82.3255 
83 156.334 
84 -173.571 
85 60.4226 
86 -64.2527 
87 84.5282 
88 -31.3563 
89 -150.1 
90 157.758 
91 35.7747 
92 -80.3551 
93 152.9 
94 36.7698 
95 -85.1172 
96 -93.1466 
97 150.724 
98 28.8366 
99 162.42 
100 -76.1832 
101 41.3065 
102 163.664 
103 45.1745 
104 -71.6679 
105 77.4992 
106 -164.667 
107 -46.288 
108 66.8006 
109 -50.0817 
110 -160.638 
111 69.8261 
112 -40.7306 
113 -173.292 
114 -171.274 
115 78.1692 
116 -54.3918 
ITEM: TIMESTEP
26900
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1034440479022237e+01 2.1034440479022237e+01
-1.1245775088204779e+01 1.1245775088204779e+01
-1.1245775088204779e+01 1.1245775088204779e+01
ITEM: ENTRIES index c_dphi
1 -173.449 
2 -46.0001 
3 68.763 
4 -98.4633 
5 136.378 
6 20.5227 
7 -98.6341 
8 145.51 
9 26.5243 
10 12.2419 
11 -103.614 
12 137.4 
13 -173.58 
14 64.8367 
15 -46.3302 
16 -106.197 
17 148.292 
18 15.9524 
19 -89.5585 
20 126.618 
21 21.1067 
22 -20.3998 
23 95.8799 
24 -83.8026 
25 165.529 
26 47.277 
27 70.4018 
28 -55.2886 
29 -165.196 
30 119.152 
31 113.729 
32 0.513758 
33 -125.021 
34 -129.121 
35 117.664 
36 -7.86985 
37 -2.0994 
38 -115.314 
39 -154.878 
40 85.0499 
41 -36.2132 
42 -156.602 
43 82.135 
44 -36.53 
45 -45.9091 
46 -167.172 
47 74.1629 
48 -159.611 
49 -42.7227 
50 78.2527 
51 -158.267 
52 85.0608 
53 -29.0022 
54 125.537 
55 -116.519 
56 7.37956 
57 -125.351 
58 111.575 
59 0.0642259 
60 -127.198 
61 121.291 
62 -4.12436 
63 -3.92133 
64 -115.432 
65 119.153 
66 154.586 
67 -85.9821 
68 29.8488 
69 147.775 
70 28.0659 
71 -92.7016 
72 170.985 
73 -74.4519 
74 52.9015 
75 -111.635 
76 130.915 
77 11.6264 
78 -117.178 
79 123.533 
80 0.271549 
81 6.55319 
82 -112.736 
83 124.003 
84 145.076 
85 31.1371 
86 -92.9005 
87 90.4781 
88 -28.3866 
89 -150.367 
90 154.224 
91 32.7078 
92 -85.3546 
93 155.214 
94 37.1513 
95 -83.2699 
96 -85.7349 
97 156.203 
98 35.7816 
99 161.64 
100 -77.1929 
101 39.237 
102 169.773 
103 45.9653 
104 -71.291 
105 -15.5989 
106 98.1496 
107 -142.727 
108 71.3002 
109 -45.8241 
110 -155.576 
111 74.7642 
112 -34.9877 
113 -168.111 
114 -159.832 
115 90.4164 
116 -42.7075 
ITEM: TIMESTEP
27000
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1034440479022237e+01 2.1034440479022237e+01
-1.1245775088204779e+01 1.1245775088204779e+01
-1.1245775088204779e+01 1.1245775088204779e+01
ITEM: ENTRIES index c_dphi
1 166.508 
2 -75.2 
3 40.8322 
4 -112.263 
5 123.361 
6 9.76393 
7 -113.493 
8 132.911 
9 10.8834 
10 -1.76803 
11 -115.365 
12 122.608 
13 173.053 
14 51.0343 
15 -70.4179 
16 -73.4655 
17 172.118 
18 46.5675 
19 -67.8492 
20 167.807 
21 53.3906 
22 -22.2615 
23 91.4749 
24 -92.4552 
25 151.801 
26 37.3781 
27 104.451 
28 -16.7335 
29 -133.131 
30 107.842 
31 110.062 
32 -11.6474 
33 -130.49 
34 -134.275 
35 104.015 
36 -14.8278 
37 -11.6053 
38 -133.315 
39 -174.596 
40 70.9594 
41 -52.8339 
42 -171.774 
43 64.4329 
44 -57.3292 
45 -50.8071 
46 -174.6 
47 63.6375 
48 170.97 
49 -76.3154 
50 54.8859 
51 -175.824 
52 64.9625 
53 -51.1191 
54 105.995 
55 -129.001 
56 -13.7038 
57 -152.706 
58 88.2214 
59 -26.6288 
60 -155.685 
61 89.4651 
62 -36.6118 
63 -35.3262 
64 -150.176 
65 83.7467 
66 139.789 
67 -100.837 
68 13.1135 
69 -157.494 
70 83.659 
71 -37.5889 
72 -155.26 
73 -33.7843 
74 85.8012 
75 -142.99 
76 91.5183 
77 -28.4907 
78 -141.938 
79 98.0532 
80 -16.4462 
81 -18.8673 
82 -138.876 
83 106.624 
84 104.924 
85 -20.0436 
86 -138.042 
87 93.446 
88 -42.6297 
89 -153.811 
90 155.382 
91 34.7734 
92 -85.5222 
93 169.198 
94 48.9024 
95 -70.1937 
96 -77.8577 
97 161.847 
98 42.7506 
99 169.428 
100 -68.3662 
101 50.4023 
102 178.535 
103 53.064 
104 -60.441 
105 142.253 
106 -96.4501 
107 22.5215 
108 46.7709 
109 -76.2944 
110 166.103 
111 45.1051 
112 -72.4977 
113 168.17 
114 162.666 
115 45.0632 
116 -74.2687 
ITEM: TIMESTEP
27100
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1034440479022237e+01 2.1034440479022237e+01
-1.1245775088204779e+01 1.1245775088204779e+01
-1.1245775088204779e+01 1.1245775088204779e+01
ITEM: ENTRIES index c_dphi
1 -145.339 
2 100.287 
3 -23.3018 
4 94.8094 
5 -23.7361 
6 -144.097 
7 115.075 
8 119.415 
9 10.3371 
10 -115.106 
11 -126.03 
12 124.892 
13 -0.55177 
14 -10.4035 
15 -119.482 
16 -164.497 
17 79.1323 
18 -40.2944 
19 -159.827 
20 80.7463 
21 -43.4567 
22 -43.1118 
23 -162.538 
24 73.2585 
25 150.223 
26 -94.1546 
27 33.7771 
28 -169.383 
29 58.5801 
30 -53.4514 
31 107.464 
32 -129.865 
33 -16.3805 
34 165.801 
35 -76.963 
36 47.1701 
37 -132.358 
38 110.623 
39 -6.25255 
40 -130.816 
41 112.309 
42 -13.7962 
43 -10.8647 
44 -127.74 
45 106.155 
46 -167.251 
47 72.4804 
48 -46.4384 
49 -66.7848 
50 168.045 
51 52.9895 
52 -72.1807 
53 175.049 
54 49.8785 
55 -36.5206 
56 81.8729 
57 -150.187 
58 90.9314 
59 -29.7757 
60 -144.489 
61 94.8041 
62 -25.6075 
63 -32.1885 
64 -152.896 
65 86.6928 
66 147.878 
67 -94.9468 
68 27.2941 
69 -159.564 
70 79.9327 
71 -39.314 
72 -164.058 
73 -47.9616 
74 67.0093 
75 -135.293 
76 108.264 
77 -3.25762 
78 -128.287 
79 120.191 
80 -11.844 
81 -14.7399 
82 -126.261 
83 101.703 
84 100.109 
85 -20.2611 
86 -138.138 
87 83.7989 
88 -47.5343 
89 -157.909 
90 163.507 
91 46.0016 
92 -73.0685 
93 178.714 
94 59.6438 
95 -63.7804 
96 -67.2352 
97 173.695 
98 50.2705 
99 176.634 
100 -65.3967 
101 51.8203 
102 165.457 
103 41.2523 
104 -68.9265 
105 175.851 
106 -63.0735 
107 55.005 
108 86.1279 
109 -40.5776 
110 -151.971 
111 83.2708 
112 -28.1222 
113 -150.024 
114 -166.863 
115 81.7436 
116 -40.1579 
ITEM: TIMESTEP
27200
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1034440479022237e+01 2.1034440479022237e+01
-1.1245775088204779e+01 1.1245775088204779e+01
-1.1245775088204779e+01 1.1245775088204779e+01
ITEM: ENTRIES index c_dphi
1 -141.128 
2 104.23 
3 -19.9672 
4 137.615 
5 14.1511 
6 -112.06 
7 101.905 
8 106.978 
9 -15.8907 
10 -140.014 
11 -133.738 
12 103.393 
13 -20.7302 
14 -11.1026 
15 -133.971 
16 179.997 
17 52.9959 
18 -60.6743 
19 169.423 
20 55.753 
21 -63.5754 
22 -67.812 
23 178.518 
24 59.1893 
25 170.195 
26 -63.339 
27 57.4281 
28 -178.86 
29 61.6477 
30 -55.1981 
31 96.3266 
32 -141.181 
33 -29.8556 
34 -172.247 
35 -53.0999 
36 72.4973 
37 -116.155 
38 124.089 
39 1.38159 
40 -111.442 
